"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
14.83,25.13,93,4,63.4,8.15,"Beta","ui","alta",NA
31.59,33.73,80,2,57.5,3.83,"Beta","api","media","success"
21.3,16.59,74,1,61.6,4.54,"Gamma","test","media","rolled_back"
33.43,33.61,84,2,39.6,41.01,"Beta","api","media","success"
103.54,19.03,92,4,85.2,5.57,"Delta","db","crítica","success"
31.01,44.22,81,2,82.6,4.19,"Gamma","db","crítica","success"
29.67,21.14,81,2,65.9,3.05,"Alpha","api","baja","success"
11.85,28.87,83,4,57.3,5.62,"Gamma","db","baja","success"
38.68,27.72,96,4,67.9,9.86,"Beta",NA,"alta","success"
29.21,6.68,85,2,66.3,5.67,"Alpha","api","media","success"
93.11,11.46,91,3,83,8.83,"Delta","ui","baja","success"
8.47,27.28,68,4,44.3,5.38,"Delta","infra","crítica","rolled_back"
18.44,24.88,85,5,78.8,14.78,"Alpha","auth","baja","success"
22.84,28.51,90,4,68.5,1.82,"Alpha","auth","baja","failed"
34.74,21.81,97,NA,100,7.11,"Gamma","test","baja","success"
21.48,12.74,80,3,62.8,2.05,"Delta","api","baja","rolled_back"
38,43.63,92,4,65.1,15.95,"Alpha","api","alta","rolled_back"
187.09,90.47,96,4,83.7,7.26,"Beta","infra","baja","success"
25.26,26.74,93,3,82.2,12.64,"Gamma","api","baja","failed"
35.5,7.72,87,4,71.2,10.45,"Beta","api","baja","success"
19.71,37.6,71,0,51.5,3.4,"Gamma","api","alta","success"
70.69,50.96,95,2,73.4,4,"Beta","auth","crítica","success"
13.98,25.71,85,4,75,18.86,"Beta","infra","baja","success"
24.57,47.45,97,5,81.1,4.15,"Alpha","test","baja","success"
39.88,34.01,89,2,99.1,2.3,"Beta","db","alta","success"
60.46,NA,85,5,48.8,3.2,"Alpha","auth","baja","success"
39.54,19.37,74,2,43.5,10.13,"Alpha","ui","baja","success"
52,26.23,84,4,66.4,5.87,"Gamma","db","crítica","success"
12.44,8.48,70,4,NA,14.97,"Beta","api","baja","failed"
22.12,5.55,75,5,87.6,7.31,"Gamma","auth","alta","failed"
31.07,13.49,82,3,42.1,8.37,"Gamma","ui","media","success"
69.15,12.97,76,2,54.9,10.27,"Beta","ui","baja","success"
32.77,12.95,75,4,56.2,30.91,"Alpha","test","crítica","success"
27.85,20.23,75,2,56.6,15.8,"Alpha","api","alta","success"
34.99,21.08,83,2,79.7,4.46,"Gamma","auth","alta","failed"
15.47,13.14,81,2,47.5,9.41,"Alpha","test","alta","failed"
12.25,23.19,80,4,78.4,22.43,"Beta","auth","media","success"
44.72,19.2,79,5,NA,4.22,"Beta","auth","media","success"
17.54,15.67,100,2,61.1,23.18,"Gamma","auth","baja","rolled_back"
40.55,30.86,90,3,67.8,8.45,"Alpha","db","media","failed"
13.57,48.6,76,5,NA,23.23,"Delta","test","crítica","success"
19.82,9.85,100,5,82.9,11.36,"Beta","test","media","success"
34.54,7.88,82,2,76.9,2.75,"Gamma","infra","alta","success"
14.93,29.36,85,5,100,17.67,"Delta","infra","baja","failed"
29.55,12.36,86,4,63.8,16.88,"Alpha","infra","alta","success"
38.91,17.55,92,6,83.8,4.38,"Beta","db","media","failed"
101.87,15.39,77,3,65.2,5.14,"Alpha","api","media","failed"
20.84,38.38,73,2,80,7.65,"Gamma","api","media","failed"
45.34,8.71,67,2,53.1,24.74,"Alpha","auth","media","success"
54.22,41.04,88,4,69.1,8.37,"Alpha","test","media","success"
169.47,49.75,61,1,84,2.63,"Alpha","api","crítica","failed"
114.37,17.55,95,4,100,4.1,"Delta","auth","media","rolled_back"
62.19,11.88,86,1,65.4,22.14,"Delta","auth","media","success"
84.04,43.16,91,2,99.8,2.4,"Alpha","db","alta","rolled_back"
25.93,38.03,78,5,81.6,11.02,"Alpha","infra","media","failed"
69.65,14.16,82,2,97.3,8.84,"Beta","db","baja","success"
21.46,18.23,81,3,48.2,11.33,"Delta","db","media","failed"
52.4,22.55,90,3,63.9,23.71,"Alpha","db","baja","success"
35.94,10.84,88,2,48.9,7.01,"Beta","auth","alta","rolled_back"
23.2,9.44,87,6,52.4,8.97,"Delta","infra","media","success"
44.06,19.61,85,3,70.6,22.31,"Beta","db","alta","success"
60.29,20.01,98,4,88.7,10.64,"Alpha","infra","crítica","success"
51.55,2.53,86,6,56.9,4.98,"Gamma","api","media","success"
15.24,12.94,89,1,55.8,16.51,"Gamma","db","alta","failed"
10.84,11.53,73,4,92.1,26.68,"Alpha","test","alta","success"
28.52,17.5,91,7,87.8,10.01,"Beta","infra","baja","success"
14.1,9.71,91,4,66.1,8.87,"Gamma","ui","alta","success"
33.35,9.11,81,4,66.5,9.63,"Gamma","api","baja","success"
32.69,14.28,87,2,83.7,2.79,"Gamma","auth","baja","success"
23.32,10.82,105,3,85.7,6.44,"Alpha","ui","crítica","rolled_back"
10.21,18.61,81,0,83.8,5.07,"Gamma","ui","media","success"
24.11,12.01,82,1,48,NA,"Beta","api","media","success"
24.49,8.63,83,2,70.8,3.99,"Gamma","infra","baja","success"
10.35,6.93,85,3,85.2,5.8,"Beta","infra","alta","rolled_back"
50.28,15.81,99,3,81.7,15.75,"Alpha","ui","baja","rolled_back"
29.47,14.88,78,1,87.8,6.73,"Delta","api","crítica","success"
34.43,16.61,104,5,72,5.71,"Alpha","auth","media","failed"
50.32,30.48,76,5,99.3,21.87,"Delta","ui","media","success"
NA,7.96,82,1,62.3,2.79,"Beta","infra","media","rolled_back"
13.25,24.97,91,3,84.9,13.5,"Gamma","ui","media","success"
168.93,16.71,89,3,69.3,3.79,"Alpha","auth","media","success"
20.66,28.61,86,0,NA,4.43,"Alpha","test","alta","success"
35.26,11.06,82,2,69,23.58,"Gamma","infra","baja","success"
48.54,23.39,87,7,79.3,17.94,"Alpha","api",NA,"success"
23.74,18.66,NA,2,87,2.97,"Alpha","infra","media","success"
72.73,43.31,73,10,93.2,4.57,"Gamma","auth","media","success"
26.43,23.98,85,2,85.6,3.73,"Beta","infra","media","success"
28.62,15.4,68,3,75.2,3.36,"Beta","api","baja","failed"
179.34,32.34,99,3,46.8,4.19,"Gamma","db","alta","failed"
34.17,41.49,89,2,87.9,10.2,"Alpha","infra","alta","success"
45.09,31.24,115,3,93.3,3.38,"Alpha","auth","media","rolled_back"
7.43,26.04,74,2,64,14.54,"Gamma","ui","crítica","failed"
36.68,12.34,100,3,91.5,11.72,"Alpha","api","media","rolled_back"
NA,15.98,84,1,99,4.7,"Alpha","test","media","rolled_back"
11.49,8.32,80,0,88.6,3.58,"Alpha","api","alta","success"
27.92,16.49,73,1,65.1,35.48,"Gamma","api","alta","success"
17.54,31.41,94,4,66.6,8.05,"Alpha","api","media","rolled_back"
17.49,15.45,72,2,60.7,3.48,"Delta","auth","alta","success"
31.42,11.17,87,4,44.3,5.85,"Beta","db","media","success"
35.28,32.17,95,3,51.6,2.85,"Beta","api","alta","success"
39.11,23.11,93,2,74.8,19.02,"Beta","api","alta","failed"
84.85,24.8,79,1,48.2,5.37,"Delta","db","baja","success"
22.92,16.41,84,3,67.4,14.37,"Beta","api","baja","rolled_back"
33.19,46.96,100,4,75.2,7.93,"Beta","api","baja","success"
38.76,13.13,102,4,52.7,5.73,"Gamma","api","baja","rolled_back"
57.73,36.11,100,2,92.6,3.73,"Delta","test","baja","success"
14.92,11.41,87,3,NA,7.15,"Gamma","ui","alta","success"
34.2,20.74,81,2,67.6,9.52,"Beta","test","crítica","failed"
36.87,31.17,81,4,92.4,12.76,"Alpha","api","baja","success"
13.37,17.29,96,3,55.3,12.74,"Gamma","api","media","success"
13.03,45.8,86,4,80.5,4.01,"Alpha","ui","media","success"
79.89,5.5,70,3,52.6,14.85,"Delta","auth","alta","failed"
56.49,7.92,86,5,55.7,5.32,"Alpha","db","alta","success"
21.39,20.45,85,3,71.5,NA,"Delta","db","alta","failed"
39.49,12.62,88,3,73.2,3.39,"Alpha","db","alta","rolled_back"
29.9,5.52,94,NA,77.9,25.39,"Gamma","db","media","failed"
19.29,18.14,68,0,55.6,5.69,"Alpha","ui","baja","success"
59.25,22.87,98,2,44,23.55,"Alpha","test","baja","success"
20.72,9.81,81,3,64.1,11.26,"Beta","api","media","rolled_back"
36.56,30.36,83,NA,76.2,1.14,"Gamma","test","media","success"
49.88,25.55,79,1,55.2,7.76,"Delta","ui","baja","success"
74.57,71.88,76,2,68,7.76,"Alpha","ui","alta","success"
20.79,17.55,71,4,67.9,20.82,"Alpha","ui","media","success"
84.46,15.64,75,6,84.8,6.12,"Beta","api","media","success"
143.66,12.62,80,2,68.8,7.7,"Alpha","test","baja","failed"
36.09,15.95,89,3,69.3,6.04,"Alpha","auth","baja","success"
18.27,32.94,85,3,62.9,11.73,"Beta","api","baja","success"
19.25,15.14,100,3,48.6,3.96,"Delta","auth","media","failed"
22.49,11.79,74,1,85.4,19.84,"Beta","infra","alta","success"
47.59,19.87,95,3,89,6.16,"Gamma","auth","alta","failed"
86.83,19.52,84,1,86.1,123.88,"Gamma","test","alta","success"
NA,15.69,61,1,62.8,5.63,"Beta","infra","media","success"
18.2,9.6,93,4,62.5,8.78,"Beta","auth","alta","success"
23.12,14.97,63,4,82.7,8.79,"Alpha","api","media","success"
74.07,12.13,100,2,-5.2,3.19,"Alpha","test","baja","success"
11.98,8.54,90,4,87.7,2.31,"Gamma","db","alta","success"
32.38,18.67,86,3,85.9,17.46,"Beta","auth","alta","success"
21.68,45.62,81,2,94.3,21.99,"Gamma","auth","baja","success"
60.69,22.02,78,4,69,4.61,"Gamma","auth","media","failed"
41.96,36.09,102,3,58.6,1.92,"Delta","auth","baja","failed"
27.05,8.06,89,1,79.6,5.53,"Delta","ui","alta","rolled_back"
9.39,16.97,105,4,41,2.53,"Alpha","auth","alta","success"
39.22,29.07,90,NA,73.4,13.53,"Alpha","auth","alta","rolled_back"
14.6,12.43,98,4,92,8.75,"Beta","api","baja","failed"
22.94,15.27,80,3,74.7,12.29,"Beta","api","alta","rolled_back"
96.87,21.3,99,1,99,8.65,"Beta","auth","media","success"
113.26,6.34,93,3,NA,19.34,"Beta","ui","alta","success"
70.41,4.51,79,2,59.3,2.48,"Beta","test","media","failed"
37.37,15.28,105,2,84.7,15.51,"Beta","infra","baja","success"
21.79,6.84,80,2,64.2,6.63,"Gamma","ui","alta","success"
46.47,16.41,118,2,77.8,5.62,"Delta","ui","media","rolled_back"
NA,41.6,75,5,74.8,7.04,"Alpha","ui","media","rolled_back"
61.11,28.88,82,3,81,6.45,"Delta","api","alta","success"
13.73,24.7,89,0,53.4,19.88,"Beta","auth","baja","success"
14.87,39.49,86,2,80.4,17.78,"Gamma","auth","media","success"
17.91,13.09,82,4,61.9,3.42,"Gamma","ui","baja","rolled_back"
43.8,13.41,71,2,69.9,NA,"Alpha","db","media","success"
12.52,15.99,63,2,54,9.81,"Delta","ui","alta","success"
58.44,25.97,112,1,74.3,8.79,"Delta","test","media","rolled_back"
11.63,41.61,97,5,71.6,5.55,"Delta","infra","alta",NA
44.28,14.25,79,6,74,32.57,"Alpha","api","baja","failed"
30.86,147.95,76,6,62.6,3.36,"Beta","api","media","success"
35.24,67.52,89,6,79.5,2.75,"Alpha","ui","media","rolled_back"
126.46,12.34,87,2,68.3,4.51,"Beta","api","media","success"
30.99,13.15,83,7,64.2,2.96,"Gamma","ui","baja","failed"
33.06,16.99,80,0,65.6,2.39,"Delta","api","baja","success"
26.09,13.1,96,2,50.2,11.76,"Alpha","api","alta","rolled_back"
56.46,9.55,90,4,76.3,27.48,"Beta","auth","alta","success"
88.32,43.1,86,1,79.3,NA,"Beta","api","crítica","success"
16.31,20.54,80,7,64.7,8.75,"Gamma","db","alta","success"
39.89,22.44,85,2,75.1,5.95,"Alpha","test","alta","success"
10.54,7.44,95,0,100,5.57,"Beta","api","baja","success"
99.46,7.24,98,7,48.4,3.85,"Gamma","infra","media","success"
46.07,20.11,NA,5,58.7,3.61,"Beta","test","baja","failed"
96.03,27.78,101,0,100,25.46,"Alpha","auth","alta","failed"
23.73,33.01,82,4,82.9,2.1,"Gamma","ui","media","success"
40.56,14.08,71,3,58.4,2.94,"Gamma","infra","baja","failed"
77.55,16.11,95,6,23.7,67.21,"Delta ","api","crítica","success"
49.02,7.66,95,2,64,33.55,"Alpha","db",NA,"success"
61.67,7.73,77,1,82.9,12.99,"Gamma","api","alta","success"
80.94,8.22,88,3,86.3,2.08,"Gamma","auth","alta","success"
26.81,15.68,88,2,77.6,8.52,"Delta","api","baja","rolled_back"
36.36,32.6,79,1,72.9,4.49,"Alpha","api","baja","rolled_back"
35.08,39.61,90,2,79.9,7.57,"Gamma","test","crítica","rolled_back"
24.38,21.16,79,2,99.1,8.18,"Alpha","api","baja","success"
7.91,39.06,84,0,60.1,29.2,"Alpha","db","alta","success"
22.36,17.98,84,4,66.2,2.66,"Delta","auth",NA,"success"
94.87,4.34,80,9,86,61.92,"Beta","db","baja","success"
166.08,39.21,77,1,66.2,5.58,"Gamma","infra","media","success"
16.43,13.99,77,3,NA,3.91,"Gamma","ui","media","success"
21.21,12.27,74,2,67,4.65,"Alpha","api","alta","failed"
7.71,6.54,106,0,100,30.24,"Gamma","auth","alta","failed"
40.03,26.4,92,5,72.3,13.42,"Gamma","ui","baja","rolled_back"
23.13,32.55,80,3,100,94.4,"Alpha","ui","media","failed"
14.08,17.32,73,4,76.1,8.76,"Alpha","db","baja","success"
26.88,17.47,98,2,72.3,7.07,"Gamma","api","media","rolled_back"
16.75,72.82,105,2,98.4,8.8,"Delta","api","alta","failed"
64.62,4.1,88,2,73.9,9.17,"Gamma","db","alta","rolled_back"
44.53,3.46,86,3,89.5,1.87,"Beta","test","media","failed"
35.67,17.01,90,5,NA,19.1,"Alpha","auth","alta","success"
62.9,14,91,3,55.8,16.1,"Delta","api","baja","rolled_back"
47.3,14.16,93,1,59.3,3.33,"Alpha","test","alta","failed"
6.37,17.08,63,3,NA,4.22,"Gamma","infra","media","success"
40.34,23.82,91,2,62.7,20.66,"Beta","api","alta","success"
47.12,7.47,60,4,91.7,1.83,"Gamma",NA,"baja","failed"
41.57,41.53,76,2,64.8,22.84,"Gamma",NA,"crítica","rolled_back"
21.73,26.96,77,0,73.3,2.61,"Beta","db","alta","success"
36.28,8.16,81,5,67.6,13.07,"Alpha","api","media","success"
29.64,6.56,73,6,38.9,2.65,"Delta","db","baja","failed"
14.62,15.88,99,1,90.9,4.08,"Gamma","db","media","rolled_back"
131.23,10.41,71,8,80.5,15.4,"Gamma","api","media","success"
11.07,10.25,89,3,53.9,5.89,"Alpha","api","alta","success"
20.64,7.08,83,1,72.6,13.64,"Gamma","db","media","success"
75.97,24.64,60,6,57.7,2.23,"Beta",NA,"baja","success"
10.57,11.6,69,1,76.2,6.4,"Gamma","ui","alta","rolled_back"
53.38,15.03,58,4,69.5,26.86,"Alpha","api","baja","rolled_back"
26.47,7.16,84,2,66.8,7.19,"Beta","api","media","failed"
25.86,24.04,81,4,66.8,10.88,"Gamma","api","alta","success"
8.59,12.44,73,4,74.2,8.61,"Alpha","infra","crítica","failed"
20.19,11.91,82,3,51.6,7.79,"Gamma","ui","alta","success"
44.23,10.46,90,3,100,15.25,"Alpha","auth","baja","success"
24.98,13.67,77,4,69,3.74,"Beta","db","media","success"
77.17,5.44,81,2,90.1,19.15,"Gamma","ui","alta","rolled_back"
34.69,20.26,78,2,66.5,3.43,"Beta","ui","baja","success"
32.85,40.57,94,5,64.2,3.53,"Delta","api","baja","rolled_back"
31.17,7.22,72,1,75,13.24,"Alpha","db","media","success"
44.26,16.94,77,3,60.2,14.4,"Gamma","auth","baja","success"
81.55,23.35,69,4,92,4.67,"Alpha","db","baja","success"
60.18,8.45,103,5,97.2,4.8,"Delta","api","media","success"
58.45,11.4,82,1,78.8,3.28,"Alpha","api","alta","success"
97.44,45.21,83,4,53.4,9.22,"Beta","api","baja","success"
24.59,11.82,82,1,66.6,12.01,"Gamma","db","baja","success"
31.95,23.57,80,3,81.1,3.21,"Delta","db","alta","success"
122.12,19.41,84,2,90.7,11.2,"Delta","auth","crítica","success"
23.51,10.28,78,3,60.7,12.8,"Delta","api","crítica","failed"
55.15,20.8,99,2,68.8,10.3,"Beta","test","crítica","success"
41.05,31.91,73,1,91.3,39.94,"Alpha","auth","alta","success"
137.99,24.8,104,2,100,5.2,"Delta","auth","media","success"
101.38,9.8,84,2,65,3.61,"Beta","ui","crítica","success"
39.16,13.11,86,1,73.4,1.54,"Alpha","db","baja","rolled_back"
50.44,310.2,95,3,94.2,20.75,"Gamma","api","media","failed"
4.09,14.78,85,6,71.1,2.55,"Gamma","auth","media","success"
31.69,10.28,86,4,93.5,5.36,"Gamma","auth","media","success"
53.54,22.71,96,3,81,28.55,"Alpha","infra","baja","failed"
185.36,9.98,79,3,60.8,4.26,"Gamma","api","alta","success"
36.25,17.52,75,1,79.5,18.18,"Alpha","auth","media","failed"
51.37,14.62,92,1,80.8,2.8,"Alpha","ui","media","success"
35.12,9.56,104,4,97.1,11.59,"Gamma","ui","media","failed"
13.78,9.51,111,4,78.5,6.4,"Beta","auth","media","success"
35.24,34.22,91,3,100,3.06,"Alpha","api","media","success"
51.44,21.6,90,4,73.5,16.25,"Beta","db","alta","success"
40.63,7.51,89,0,75.8,7.66,"Alpha","ui","media","success"
55.42,13.43,83,1,92.2,10.9,"Gamma","api","alta","failed"
33.02,8.81,87,2,58.7,5.58,"Alpha","api","media","failed"
24.23,7.97,77,4,63.7,17.17,"Delta","api","baja","failed"
67.36,7.86,75,1,80.5,10.21,"Beta","ui","baja","success"
13.42,41.42,85,0,78.7,3.06,"Alpha","ui","alta","success"
56.15,21.79,91,2,94,12.35,"Alpha","auth","media","success"
36.42,7.42,83,2,NA,4.89,"Alpha","db","alta","success"
5.33,28.84,79,5,75.8,6.17,"Beta","ui","crítica","rolled_back"
23.28,12.51,78,3,70.7,17.89,"Gamma","infra","media","success"
81.85,47.18,88,1,76.4,14.97,"Gamma","db","baja","rolled_back"
7.75,20.83,97,2,74.6,17.06,"Gamma","db","alta","failed"
91.62,32.63,72,5,82.7,8.65,"Alpha","ui","alta","failed"
90.68,19.18,102,5,52.5,9.52,"Alpha","ui","alta","success"
75.88,NA,90,3,70.4,10.67,"Beta","api","baja","success"
31.54,13.81,78,1,86.2,4.14,"Alpha","auth","baja","rolled_back"
22.38,33.68,67,1,77.6,3.26,"Alpha","db","media","success"
11.16,5.97,94,4,80.3,18.01,"Delta","api","media","failed"
NA,8.58,91,2,98.8,6.99,"Beta","api","crítica","success"
28.29,8.99,89,2,88.7,3.17,"Alpha","test","crítica","success"
380,13.31,88,7,55,1.87,"Beta","api","alta","success"
39.78,31.59,88,0,100,5.78,"Gamma","auth","baja","success"
22.83,38.42,89,4,60.6,4.39,"Gamma","auth","media","failed"
66.72,12.28,91,1,85.4,3.86,"Alpha","ui","alta","success"
59.24,19.66,99,5,60.5,5.95,"Alpha","auth","crítica","rolled_back"
23.49,10.94,NA,2,69.5,4.28,"Alpha","ui","media","success"
46.07,31.24,102,2,81.6,11.65,"Alpha","api","alta","success"
21.42,26.87,107,5,74.4,5.22,"Gamma","infra","crítica","success"
20.55,44.62,83,4,50.2,9.87,"Alpha","ui","media","success"
17.76,7.05,82,4,62.4,5.48,"Alpha","api","media","success"
25.04,6.7,76,3,71.2,11.28,"Delta","db","media","success"
16.5,16.85,79,3,100,3.43,"Delta","ui","alta","failed"
59.51,14.43,NA,3,55.2,13.26,"Gamma","api","crítica","success"
52.43,23.1,88,0,53.9,16.95,"Alpha","ui","crítica","failed"
30.5,17.85,76,3,78.2,9.73,"Gamma","ui","crítica","success"
103.75,9.94,84,5,62.9,2.64,"Alpha","api","alta","success"
47.13,31.99,99,1,61,17.92,"Delta","api","baja","success"
53.89,9.56,84,4,71.9,16.78,"Delta","db","media","rolled_back"
25.13,19.14,91,2,70.7,8.41,"Delta","ui","alta","success"
89.47,20.79,74,3,59,13.36,"Gamma","test","media","success"
36.05,10.48,79,3,54.7,14.87,"Beta","api","media","success"
23.84,13.33,71,9,65.3,11.12,"Alpha","infra","alta","success"
61.64,24.47,71,5,82.9,2.57,"Alpha","auth","alta","success"
18.85,31.42,80,3,66.5,39.73,"Gamma","auth","alta","failed"
15.61,26.78,81,1,73.5,21.47,"Delta","auth","alta","success"
83.85,5.6,89,5,71.7,15.6,"Delta","db","baja","success"
66.6,28.96,101,5,66.1,10.67,"Beta","api","baja","failed"
68.8,21.2,84,2,35.8,5.53,"Delta","db","alta","success"
53.2,2.85,89,3,47.3,28.13,"Gamma","test","alta","failed"
38.18,15.34,84,2,93.5,6.96,"Gamma","test","baja","failed"
17.04,23.07,105,4,36.7,4.49,"Alpha","auth","media","failed"
22.78,30.45,90,5,80.7,19.91,"Alpha","ui","media","success"
27.9,17.1,84,2,84.3,24.65,"Delta","auth","baja","success"
64.9,17.92,78,2,65.6,43.99,"Delta","api","baja","success"
29.08,28.06,89,3,73.9,NA,"Beta","db","media","failed"
53.26,10.12,85,4,71.8,8.94,"Gamma","api","media","success"
50.48,9.5,76,4,91,8.09,"Gamma","db","baja","success"
25.96,28.42,97,1,48.2,4.63,"Alpha","api","media","success"
13.07,21.69,92,5,63,6.72,"Beta","ui","media","rolled_back"
29.44,13.98,93,3,72,28.53,"Beta","test","crítica","failed"
25.72,4.46,92,7,87.9,4.45,"Beta","api","baja","success"
10.83,17.88,81,3,70.1,8.83,"Delta","auth","media","rolled_back"
25.82,46.96,85,3,70.9,2.37,"Gamma","auth","baja","failed"
80.99,15.61,86,2,70.7,11.15,"Gamma","test","baja","failed"
20.04,14.28,70,2,75.9,6.36,"Beta","auth","baja","rolled_back"
20.7,21.84,77,2,45.3,1.62,"Beta","ui","baja","success"
112.43,NA,95,6,62.8,4.26,"Gamma","db","alta","success"
35.18,18.6,86,2,58.5,4.29,"Beta","db","crítica","success"
10.49,19.81,90,3,66,10.55,"Gamma","infra","media","rolled_back"
13.98,9.42,69,7,65.8,11.44,NA,"auth","alta","rolled_back"
147.78,14.81,93,2,76.4,16.5,"Gamma","db","media","failed"
73.91,21.62,79,0,74,5.01,"Delta","api","alta","rolled_back"
29.35,25.1,102,1,84.4,9.35,"Beta","test","baja","rolled_back"
8.4,39.93,97,5,88.4,8.1,"Alpha","infra","crítica","rolled_back"
8.81,35.75,87,6,48.9,7.06,"Beta","db","media","rolled_back"
12.84,13.86,92,4,52.9,6.21,"Gamma","ui","baja","failed"
12.28,7.75,87,1,81.9,16.93,"Gamma","db","crítica","failed"
26.37,19.29,83,4,70.3,7.54,"Gamma","db","crítica","success"
76.37,32.55,89,1,93.7,12.26,"Alpha","api","media","success"
23.83,32.17,86,4,76.1,8.41,"Delta","api","alta","success"
18.98,8.03,75,3,53.8,4.14,"Alpha","infra","crítica","success"
14.33,22.45,69,3,73,5.4,"Beta","api","media","success"
13.98,6.7,118,5,74.5,15.73,"Alpha","test","alta","failed"
24.63,15.32,84,8,47.9,8.69,"Gamma","ui","alta","rolled_back"
13.62,39.47,85,2,67,5.62,"Gamma","test","baja","success"
110.83,17.53,85,1,51.8,7.84,"Gamma","api","media","success"
27.1,23.48,81,6,68.7,6.64,"Alpha","auth","baja","success"
65.53,26.99,80,5,54.7,7.68,"Gamma","auth","baja","failed"
20.92,77.27,88,2,81.1,15.66,"Alpha","test","media","failed"
34.87,9.82,78,4,52.6,1.05,"Alpha","auth","media","rolled_back"
16.46,10.19,86,3,68.1,3.66,"Alpha","db","baja","success"
18.83,8.53,90,4,87.8,9.28,"Gamma","auth","alta","failed"
24.1,34.35,90,5,70.6,2.11,"Alpha","api","media","failed"
29.03,18,82,1,95.5,1.53,"Alpha","db","baja","failed"
37.69,10.49,90,3,50.9,3.22,"Gamma","api","media","failed"
37.13,19.5,100,2,75,19.52,"Beta","ui","crítica","rolled_back"
56.97,20.24,106,3,70,3.71,"Gamma","db","media","rolled_back"
18.94,20.87,101,0,53.4,4.25,"Alpha","infra","baja","failed"
65.03,15.34,90,6,93,15.17,"Alpha","test","media","rolled_back"
47.04,7.58,82,4,51.1,29.56,"Delta","auth","media","success"
11.3,11.7,87,1,48,3.92,"Alpha","ui","alta","rolled_back"
13.19,7.56,96,3,92,2.99,"Alpha",NA,"baja","rolled_back"
98.05,17.88,94,3,100,1.39,"Beta","ui","crítica","success"
37.51,7.26,98,2,59.1,10.8,"Gamma","auth","media","failed"
26.55,19.48,81,4,73.4,5.54,"Gamma","auth","media","rolled_back"
39.44,47.75,74,2,89.9,6.18,"Beta","ui","media","success"
13.12,6.4,98,NA,96.5,16.91,"Beta","db","alta","failed"
27.54,7.12,87,2,100,3.16,NA,"auth","media","success"
53.92,17.87,73,4,46.9,48.83,"Beta","api","media","success"
22.91,63.28,78,4,58.5,64.94,"Gamma","auth","alta","success"
20.71,12.79,98,3,62.6,4.87,"Beta","auth","baja","success"
19.18,13.5,79,1,71.8,3.1,"Gamma","api","crítica","success"
89.34,17.99,80,1,64,8.97,"Alpha","ui","baja","success"
46.36,19.24,91,1,56.9,9.09,"Beta","ui","crítica","success"
11.59,9.09,80,2,69.1,21.59,"Delta","test","alta","success"
20.51,24.32,89,4,67.2,8.32,"Delta","api","baja","success"
8.07,9.82,78,4,77.1,1.88,"Gamma","api","alta","failed"
33.58,18.53,96,4,37.8,4.22,"Gamma","infra","media","success"
39.41,13.08,83,3,67.7,1.75,"Gamma","test","media","success"
27.25,31.06,90,8,88.1,10.8,"Alpha","db","media","success"
15.05,11.81,74,1,57.3,6.35,"Beta","auth","baja","success"
9.57,14.53,70,4,84.2,2.12,"Alpha","auth","crítica","success"
22.49,20.79,96,1,64.4,2.47,"Delta","api","crítica","success"
6.42,19.76,84,1,75.7,16.6,"Beta","db","baja","success"
66.16,31.97,72,1,73.9,8.61,"Alpha","api","media","success"
20.25,24.25,79,1,94.2,1.67,"Alpha","db","alta","rolled_back"
5.05,17.26,71,3,77.4,7.39,"Gamma","api","media","success"
67.97,13,88,3,70.1,26.46,"Alpha","test","media","failed"
41.95,20,NA,3,NA,9.72,"Alpha","api","alta","failed"
4.81,NA,115,4,72.3,15.94,"Beta","auth","alta","success"
27.24,10.13,81,4,89.2,8.97,"Alpha","infra","crítica","success"
15.98,9.57,76,3,71.9,12.96,"Beta","db","alta","rolled_back"
83.77,15.32,79,2,82.4,13.31,"Delta","api","media","failed"
125.06,28.54,78,4,80.3,17.4,"Gamma","ui","media","rolled_back"
36.65,NA,86,3,59.8,6.09,"Beta","ui","media","failed"
66.25,18.07,85,2,87.1,9.94,"Alpha","api","media","rolled_back"
92.51,45.92,63,4,50.2,15.79,"Beta","api","baja","success"
24.17,20.29,84,5,73.8,11.88,"Gamma","api","alta","failed"
46.55,18.66,84,3,NA,17.99,"Gamma","auth","baja","success"
27.81,24.67,97,2,98.8,NA,"Beta","ui","media","failed"
21.71,27.72,86,2,52.6,8.48,"Alpha","api","media","failed"
42.88,16.47,77,2,85.8,7.6,"Alpha","db","crítica","success"
27.43,18.25,85,3,42.2,5.86,"Beta","ui","baja","success"
NA,12.07,99,2,81.5,3.72,"Delta","test","baja","rolled_back"
25.35,12.88,89,5,83.5,27.87,"Beta","auth","baja","success"
16.25,70.08,97,4,71.7,10.49,"Beta","infra","baja","failed"
47.08,23.84,87,3,100,3.58,"Beta","auth","alta","failed"
61.06,8.51,87,4,68.7,28.54,"Gamma","auth","crítica","success"
11.39,17.78,80,5,74.8,20.41,"Gamma","ui","alta","success"
12.61,18.82,98,4,56.4,41.06,"Beta","db","crítica","success"
35.52,19.12,80,5,56.9,3.23,"Alpha","auth","baja","success"
36.23,108.83,78,3,54.6,10.71,"Beta","ui","media","success"
21.98,20.26,81,3,86.3,22.47,"Alpha","api","baja","failed"
93.66,32.36,84,5,93.9,7.39,"Alpha","auth","baja","success"
